"ISBN;""Book-Title"";""Book-Author"";""Year-Of-Publication"";""Publisher"";""Image-URL-S"";""Image-URL-M"";""Image-URL-L""",,
"0446605484;""Roses Are Red (Alex Cross Novels)"";""James Patterson"";""2001"";""Warner Vision"";""http://images.amazon.com/images/P/0446605484.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0446605484.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0446605484.01.LZZZZZZZ.jpg""",,
"0446610399;""The Rescue"";""Nicholas Sparks"";""2001"";""Warner Books"";""http://images.amazon.com/images/P/0446610399.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0446610399.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0446610399.01.LZZZZZZZ.jpg""",,
"0449006522;""Manhattan Hunt Club"";""JOHN SAUL"";""2002"";""Ballantine Books"";""http://images.amazon.com/images/P/0449006522.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0449006522.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0449006522.01.LZZZZZZZ.jpg""",,
"0449911004;""Patty Jane's House of Curl (Ballantine Reader's Circle)"";""LORNA LANDVIK"";""1996"";""Ballantine Books"";""http://images.amazon.com/images/P/0449911004.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0449911004.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0449911004.01.LZZZZZZZ.jpg""",,
"0451162072;""Pet Sematary"";""Stephen King"";""1994"";""Signet Book"";""http://images.amazon.com/images/P/0451162072.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451162072.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451162072.01.LZZZZZZZ.jpg""",,
"0451186648;""Silent Snow"";""Steve Thayer"";""2000"";""Signet Book"";""http://images.amazon.com/images/P/0451186648.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0451186648.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0451186648.01.LZZZZZZZ.jpg""",,
"0452282152;""Girl with a Pearl Earring"";""Tracy Chevalier"";""2001"";""Plume Books"";""http://images.amazon.com/images/P/0452282152.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0452282152.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0452282152.01.LZZZZZZZ.jpg""",,
"051513290X;""Summer of Storms"";""Judith Kelman"";""2002"";""Jove Books"";""http://images.amazon.com/images/P/051513290X.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/051513290X.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/051513290X.01.LZZZZZZZ.jpg""",,
"0553580388;""The Patient"";""Michael Palmer"";""2001"";""Bantam Books"";""http://images.amazon.com/images/P/0553580388.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0553580388.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0553580388.01.LZZZZZZZ.jpg""",,
"0590598848;""Demona's Revenge (Gargoyles"," No. 2)"";""Francine Hughes"";""1995"";""Scholastic"";""http://images.amazon.com/images/P/0590598848.01.THUMBZZZ.jpg"";""http://images.amazon.com/images/P/0590598848.01.MZZZZZZZ.jpg"";""http://images.amazon.com/images/P/0590598848.01.LZZZZZZZ.jpg""",
